Stock,Posterior_Mean_mu,Posterior_Mean_sigma,Mu_CI_Lower,Mu_CI_Upper,Sigma_CI_Lower,Sigma_CI_Upper
TCS,0.0007351923024085177,0.015262359184152778,-5.2149481099856695e-05,0.0014990973764187506,0.01472901745343851,0.01582324439839236
Infosys,0.0009607890804344755,0.01755143157187225,5.361356843000874e-05,0.0018567397196057257,0.016929397954710403,0.01821169747339333
Reliance,0.0007744643119788422,0.018475471106347487,-0.00014728257926347518,0.0016973822116343055,0.017823395037879206,0.019155602109154853
HDFC,0.0005033495720261759,0.016495684854191662,-0.0003638817995364973,0.0013567414332598168,0.015920887339466405,0.017105905766699684
ITC,0.0006425678270603719,0.015821845073285944,-0.00016153419519748452,0.0014277533556696156,0.015261893636236177,0.016406204438841648
