Stock,Mu_hat,Sigma_hat,LogLikelihood
TCS,0.000734539124456961,0.015252087404803017,4088.604451796624
Infosys,0.0009715122665213557,0.017545668748307475,3881.410229891925
Reliance,0.0007670840519901482,0.01846279514968267,3806.05442606512
HDFC,0.0005102617243556933,0.01648839280244813,3973.33075674915
ITC,0.0006445565247200453,0.015808026762890174,4035.6540905178736
