Date,Close_price,High_price,Low_price,Open_price,Volume,Return,Return_pct
2019-01-02,489.73388671875,498.85222039888913,487.3436249759111,493.31923501144814,15628818,-0.013024064964906712,-1.3024064964906712
2019-01-03,483.69189453125,493.3635092523611,482.51890963809075,490.22078553274525,16288287,-0.012337296542785259,-1.2337296542785259
2019-01-04,486.303466796875,488.8707786063825,478.535196761192,485.7501859420517,18516544,0.005399247527511086,0.5399247527511086
2019-01-07,489.0036010742188,495.06773696414933,487.3436992953118,489.99953623202066,12060290,0.005552364853840697,0.5552364853840697
2019-01-08,488.9592895507813,491.30525940351646,485.1304679541355,489.1584706528177,12304389,-9.061594503634307e-05,-0.009061594503634307
2019-01-09,491.6593017578125,494.4257942730051,486.32552735392176,492.21261207993297,12614237,0.005521957072360362,0.5521957072360362
2019-01-10,490.2207336425781,491.76997887931816,488.2288637940291,490.33138979553036,8925160,-0.00292594508044719,-0.292594508044719
2019-01-11,486.0379028320313,493.0094485923321,481.8549812853927,490.2650868480433,14139060,-0.008532545695214333,-0.8532545695214333
2019-01-14,485.4845886230469,487.1223294251018,480.88114438580243,484.6878346813324,8994060,-0.0011384178183643234,-0.11384178183643234
2019-01-15,500.0252075195313,501.0654049949557,489.11418486997286,489.11418486997286,22011407,0.029950732190542118,2.9950732190542118
2019-01-16,502.7917175292969,506.8197201745907,500.3350619936165,502.393296235088,13961606,0.005532741086173187,0.5532741086173187
2019-01-17,502.14990234375,508.10335206954045,500.1801338609765,506.5762673652518,16379077,-0.001276503098938786,-0.1276503098938786
2019-01-18,524.2374877929688,526.6941435340066,502.5040239545783,508.5017364096409,56181172,0.04398603951952684,4.398603951952684
2019-01-21,547.8521728515625,548.8481079387703,526.1408115885986,528.5089422923119,48206814,0.04504577716868585,4.504577716868585
2019-01-22,546.723388671875,551.9465366426136,539.8403687748806,545.7053520130312,36207430,-0.002060380948773477,-0.2060380948773477
2019-01-23,542.80615234375,550.7293708515431,540.9028070392636,545.9045843376497,19313542,-0.0071649327782389305,-0.716493277823893
2019-01-24,552.16796875,554.7131495923924,540.0618573513148,542.2307776252353,28775487,0.017247071290233507,1.7247071290233507
2019-01-25,551.5259399414062,559.8032558772323,546.8340012546289,553.4957079436691,18703992,-0.0011627418556117153,-0.11627418556117153
2019-01-28,544.2447509765625,555.9303984566689,541.0798955042951,553.5180050276912,18744303,-0.013201897567351573,-1.3201897567351573
2019-01-29,535.8788452148438,545.1742589755294,531.7623174984154,544.8865233857091,20405845,-0.015371587409354737,-1.5371587409354737
2019-01-30,529.2614135742188,542.2307307181926,527.2252808955305,537.8043656072043,17164298,-0.012348745802741923,-1.2348745802741923
2019-01-31,543.182373046875,544.3110954962458,531.6074129717023,532.0500376390211,22279301,0.02630261552348001,2.630261552348001
2019-02-01,553.2745361328125,555.5098796864428,543.1381933253141,546.2145238749713,20187323,0.018579695488510684,1.8579695488510684
2019-02-04,571.4004516601562,574.0784193450475,549.7776177383931,551.9686392293681,25528059,0.032761159864752365,3.2761159864752365
2019-02-05,571.6881713867188,577.3761052108845,565.9560341911196,571.8873820352513,20479210,0.0005035343002031123,0.05035343002031123
2019-02-06,579.9655151367188,583.2410560216659,572.8833428361716,573.7685922129579,20586783,0.01447877385659746,1.447877385659746
2019-02-07,571.1791381835938,584.8123314865187,569.2757931615276,579.9654440045323,20150710,-0.015149826539348155,-1.5149826539348155
2019-02-08,565.5576171875,575.6497541284344,563.145224334816,568.7003111247333,14230054,-0.009841957838255033,-0.9841957838255033
2019-02-11,554.7351684570312,564.8052045928157,553.7392334148291,564.7609421263937,16457901,-0.019135890670677225,-1.9135890670677225
2019-02-12,556.12939453125,563.1894638560586,553.9604748587062,553.9604748587062,13998153,0.0025133183426908623,0.25133183426908623
2019-02-14,541.8765258789062,549.3128564552972,539.1321939259117,549.3128564552972,14496604,-0.02562869143854052,-2.562869143854052
2019-02-15,550.8400268554688,553.2524202410701,537.3617199080433,544.3332661353908,20994460,0.016541593053923,1.6541593053922998
2019-02-18,540.061767578125,554.4032201240432,537.8043227333932,553.2965993868063,21106139,-0.01956695002516906,-1.956695002516906
2019-02-19,538.2911987304688,548.7374358904422,536.1222788619095,539.1321855608721,13658461,-0.0032784561951056945,-0.32784561951056945
2019-02-20,546.369384765625,548.8703030309389,539.5748886041301,541.7217070999318,13776558,0.015007092915894304,1.5007092915894304
2019-02-21,551.9244384765625,556.7492248237998,544.1561684297326,547.0997112247437,23142949,0.010167212632751,1.0167212632751
2019-02-22,545.4840698242188,551.2162068932724,542.673314598179,550.9063696321634,19152470,-0.011668931838062169,-1.1668931838062169
2019-02-25,545.4619750976562,550.1982368058309,540.3052494604813,547.0997456286915,17176522,-4.050480625328312e-05,-0.004050480625328312
2019-02-26,540.128173828125,546.5685699194651,533.8206242395728,535.369810658872,22160532,-0.009778502467704175,-0.9778502467704175
2019-02-27,541.5665893554688,551.0390507015017,535.1483557561404,543.5806198071731,24308835,0.002663100347365832,0.2663100347365832
2019-02-28,544.90869140625,548.8039072567752,542.9168210075819,546.1038372836208,24688859,0.006171174729886486,0.6171174729886486
2019-03-01,542.6954345703125,549.910453132345,541.0134608104729,547.5423224852349,17329606,-0.004061702209641305,-0.40617022096413047
2019-03-05,547.8300170898438,548.7816896146917,539.3977517583712,541.5224091283327,15577500,0.00946125983830437,0.946125983830437
2019-03-06,559.8477783203125,563.5216821904896,546.7014677627076,548.7818633271484,26332276,0.02193702582109114,2.193702582109114
2019-03-07,562.2600708007812,566.4872253380775,556.9041346329068,559.493577776652,17738092,0.004308836390681581,0.4308836390681581
2019-03-08,560.8657836914062,564.1191639460266,558.6083385798502,560.4009981991971,13211934,-0.0024797903706539337,-0.24797903706539337
2019-03-11,577.243408203125,580.7402027272578,561.2641824047415,562.171592664967,21258869,0.029200612674082915,2.9200612674082915
2019-03-12,589.3052368164062,590.4782218784803,581.7361176816571,582.9091027437312,24561597,0.020895567522941416,2.0895567522941416
2019-03-13,596.365234375,601.9866858465925,587.8666043720284,591.8060821060708,24577591,0.01198020502368835,1.198020502368835
2019-03-14,593.8200073242188,602.871946999757,591.4076144308954,597.4496475061777,22753310,-0.004267899776969175,-0.4267899776969175
