Date,Close_price,High_price,Low_price,Open_price,Volume,Return,Return_pct
2019-01-02,544.9839477539062,549.0160488573184,539.282000658949,542.499537891653,7416655,0.00601421621907261,0.601421621907261
2019-01-03,545.0656127929688,551.4599213890202,540.1374599847597,547.3871006992933,6827249,0.00014984852195931708,0.014984852195931708
2019-01-04,538.4675903320312,548.9347688855626,530.2812310404839,547.183436177335,7889310,-0.012105005904020638,-1.2105005904020638
2019-01-07,547.142578125,548.6902196950249,538.8340164539584,541.6849900859899,8046340,0.016110510546455625,1.6110510546455625
2019-01-08,545.798583984375,551.8263773135692,544.5767380163253,549.7899673668197,8621545,-0.0024563874104456263,-0.24563874104456263
2019-01-09,550.7266845703125,561.8862209906657,540.8704803424541,558.9538105623718,18130292,0.009029156048669051,0.9029156048669051
2019-01-10,553.6591796875,555.5326670081953,547.8350270014034,555.2068215102297,9572493,0.005324773974726638,0.5324773974726638
2019-01-11,556.7545166015625,558.3836446676972,547.7943122378211,554.0664652358487,12281903,0.005590690135056642,0.5590690135056642
2019-01-14,571.7425537109375,578.5034257033313,566.8958874400549,575.8968106762389,19312937,0.026920369143769385,2.6920369143769385
2019-01-15,591.8621826171875,594.6317201044906,576.0596708446352,576.0596708446352,19671304,0.03519001476392147,3.5190014763921473
2019-01-16,600.1708374023438,600.9854015274058,593.409965107738,594.5503747696445,9658944,0.01403815791780394,1.403815791780394
2019-01-17,597.3606567382812,601.9629645134673,593.8987587691578,599.3563490403634,6903771,-0.004682301253132404,-0.4682301253132404
2019-01-18,595.4056396484375,599.6821011792555,591.6178966914656,594.6317938089753,5902151,-0.003272758370995832,-0.3272758370995832
2019-01-21,606.8502197265625,611.737604046508,597.8900151399959,601.3111941073665,8129422,0.01922148417150127,1.9221484171501269
2019-01-22,607.13525390625,610.108432375403,597.8899724479918,603.7955614129072,6723375,0.0004696944491771049,0.04696944491771049
2019-01-23,595.9757690429688,604.8952050477271,593.9800773043954,604.6915640482205,7212099,-0.01838055818943507,-1.838055818943507
2019-01-24,599.5386352539062,602.8966868486704,590.5291748880688,596.3443520371522,7429783,0.00597820649094305,0.597820649094305
2019-01-25,598.1871337890625,604.3709391145029,593.1909990127072,596.2624056351409,5543112,-0.0022542358162979115,-0.22542358162979115
2019-01-28,596.221435546875,600.0299495856431,588.8910020874954,598.7195028177457,7944693,-0.003286092480351943,-0.3286092480351943
2019-01-29,596.1806640625,600.2348817816172,586.8435657007085,594.2149433578005,6760819,-6.838312402779323e-05,-0.006838312402779323
2019-01-30,594.54248046875,601.831922713427,590.6110397184234,596.1805641179376,5763026,-0.002747797257608209,-0.2747797257608209
2019-01-31,613.9127197265625,615.3460427564046,594.6242969516134,594.6242969516134,13825233,0.032580076099088195,3.2580076099088195
2019-02-01,620.0555419921875,624.5193294928604,609.7765781081109,615.3869940556153,6276585,0.010006018882229739,1.000601888222974
2019-02-04,619.11376953125,624.519425877129,613.6261790041616,620.0146955921136,3945391,-0.0015188517756193898,-0.15188517756193898
2019-02-05,618.2537231445312,622.4308665917667,611.8242645904229,611.8242645904229,4694366,-0.001389157258398388,-0.1389157258398388
2019-02-06,625.1746215820312,628.1641442707773,617.8441871733214,618.8270473717,5880482,0.011194268919723305,1.1194268919723305
2019-02-07,625.7479858398438,630.2117740091531,623.2908602409962,624.9698860688056,3961797,0.0009171265723513233,0.09171265723513233
2019-02-08,623.208984375,632.5050896853397,618.2947331116629,622.4718266893599,5915169,-0.00405754636419009,-0.405754636419009
2019-02-11,624.76513671875,629.6384459079119,621.6527875695677,628.1232384244684,5500216,0.0024969992133707652,0.24969992133707652
2019-02-12,614.6499633789062,622.7584476607594,606.9100079355055,622.7584476607594,7310690,-0.016190361377986573,-1.6190361377986573
2019-02-14,606.1318969726562,616.7384986811111,603.8385898441556,615.1004150192755,4610535,-0.013858402202489017,-1.3858402202489017
2019-02-15,607.6881103515625,611.4147407694353,600.0300390630551,607.9747550028037,5586389,0.0025674500660315402,0.256745006603154
2019-02-18,606.950927734375,612.3566337140543,602.8147765617418,608.0156720970807,5346825,-0.0012130936982805984,-0.12130936982805984
2019-02-19,593.23193359375,606.5413621224909,590.7748083269055,605.3537415787811,9401334,-0.022603135630478777,-2.2603135630478777
