Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2019-01-01,541.7258911132812,542.744096325402,532.8471714938197,538.386197904346,2943390
2019-01-02,544.9839477539062,549.0160488573184,539.282000658949,542.499537891653,7416655
2019-01-03,545.0656127929688,551.4599213890202,540.1374599847597,547.3871006992933,6827249
2019-01-04,538.4675903320312,548.9347688855626,530.2812310404839,547.183436177335,7889310
2019-01-07,547.142578125,548.6902196950249,538.8340164539584,541.6849900859899,8046340
2019-01-08,545.798583984375,551.8263773135692,544.5767380163253,549.7899673668197,8621545
2019-01-09,550.7266845703125,561.8862209906657,540.8704803424541,558.9538105623718,18130292
2019-01-10,553.6591796875,555.5326670081953,547.8350270014034,555.2068215102297,9572493
2019-01-11,556.7545166015625,558.3836446676972,547.7943122378211,554.0664652358487,12281903
2019-01-14,571.7425537109375,578.5034257033313,566.8958874400549,575.8968106762389,19312937
2019-01-15,591.8621826171875,594.6317201044906,576.0596708446352,576.0596708446352,19671304
2019-01-16,600.1708374023438,600.9854015274058,593.409965107738,594.5503747696445,9658944
2019-01-17,597.3606567382812,601.9629645134673,593.8987587691578,599.3563490403634,6903771
2019-01-18,595.4056396484375,599.6821011792555,591.6178966914656,594.6317938089753,5902151
2019-01-21,606.8502197265625,611.737604046508,597.8900151399959,601.3111941073665,8129422
2019-01-22,607.13525390625,610.108432375403,597.8899724479918,603.7955614129072,6723375
2019-01-23,595.9757690429688,604.8952050477271,593.9800773043954,604.6915640482205,7212099
2019-01-24,599.5386352539062,602.8966868486704,590.5291748880688,596.3443520371522,7429783
2019-01-25,598.1871337890625,604.3709391145029,593.1909990127072,596.2624056351409,5543112
2019-01-28,596.221435546875,600.0299495856431,588.8910020874954,598.7195028177457,7944693
2019-01-29,596.1806640625,600.2348817816172,586.8435657007085,594.2149433578005,6760819
2019-01-30,594.54248046875,601.831922713427,590.6110397184234,596.1805641179376,5763026
